,City,Country,Lat,Lng,Hotel Name
332,tobolsk,,58.2,68.27,Gostinitsa Siberia
333,alyangula,,-13.85,136.42,Groote Eylandt Lodge
334,sulangan,,11.14,123.72,Maia's Beach Resort
335,rzhyshchiv,,49.97,31.05,Homene
336,kazachinskoye,,57.7,93.28,"Tayga, Gostinitsa"
337,kenai,,60.55,-151.26,Aspen Extended Stay Suites
338,minbu,,20.18,94.88,Nan Htike Thu
339,tahoua,,14.89,5.27,HOTEL TARKA
340,baoro,,5.67,15.97,
341,seymchan,,62.88,152.43,
342,carutapera,,-1.2,-46.02,HOTEL R. SOARES
343,airai,,-8.93,125.41,
344,alta floresta,,69.97,23.27,Scandic Alta
345,aparecida do taboado,,-22.85,-45.23,Hotel Mãe Rainha
346,andros town,,37.83,24.93,Micra Anglia Hotel - Andros
347,port hardy,,-7.03,29.76,
348,elizabeth city,,40.66,-74.21,"Country Inn & Suites by Radisson, Newark Airport, NJ"
349,dakar,,14.69,-17.44,"Radisson Blu Hotel, Dakar Sea Plaza"
350,nanortalik,,60.14,-45.24,Hotel Kap Farvel
351,igarka,,67.47,86.58,Igarka Airport Hotel
352,port lincoln,,-7.03,29.76,
353,abu dhabi,,24.6,72.7,Hotel Hillock
354,orange cove,,33.7,-117.77,DoubleTree by Hilton Hotel Irvine - Spectrum
355,houma,,29.6,-90.72,Quality Inn & Suites
356,oksfjord,,70.24,22.35,
357,strenci,,57.63,25.69,"Strenči, Viesu nams"
358,merauke,,-8.47,140.33,
359,katobu,,-4.94,122.53,Balai Desa Kafofo
360,bull savanna,,6.2,-10.28,
361,lira,,2.23,32.91,Pauline Hotel
362,vostok,,46.49,135.88,
363,margate,,51.38,1.39,Sands Hotel Margate
364,sayyan,,15.17,44.32,
365,tyshkivka,,48.5,30.94,
366,teguise,,29.06,-13.56,HOTEL BOUTIQUE PALACIO ICO
367,sobolevo,,54.43,31.9,
368,rumonge,,-3.97,29.44,Tanganyika Bluebay Resort
369,belyy yar,,55.84,32.94,
370,kinshasa,,-4.32,15.32,Pullman Kinshasa Grand Hotel
371,white center,,35.25,-91.73,Quality Inn & Suites Searcy I-67
372,port hedland,,-7.03,29.76,
373,vite,,17.28,74.55,Hotel Mahadev Executive
374,dedougou,,12.47,-3.47,Hotel Loba
375,victor harbor,,42.98,-77.41,Microtel Inn & Suites by Wyndham Victor/Rochester
376,ust-shonosha,,61.15,41.34,
377,rovaniemi,,66.5,25.72,Arctic TreeHouse Hotel
